id,friendId
182607169204212,10215182436335117
182607169204212,10210795611194669
182607169204212,10116585161929434
182607169204212,10215575213514844
182607169204212,10213889999381975
182607169204212,116395725875763
182607169204212,10211765197505270
182607169204212,10216413062544098
182607169204212,10216198199085345
182607169204212,10155354916101204
10215182436335117,10204749670097132
10215182436335117,10210795611194669
10215182436335117,10116585161929434
10215182436335117,10215575213514844
10215182436335117,10213889999381975
10215182436335117,116395725875763
10215182436335117,10211765197505270
10215182436335117,10216413062544098
10215182436335117,10216198199085345
10215182436335117,10155354916101204
10215182436335117,10204749670097132
10210795611194669,10212124163559089
10210795611194669,10116585161929434
10210795611194669,10215575213514844
10210795611194669,10213889999381975
10210795611194669,116395725875763
10210795611194669,10211765197505270
10210795611194669,10216413062544098
10210795611194669,10216198199085345
10210795611194669,10155354916101204
10210795611194669,10204749670097132
10210795611194669,10212124163559089
10116585161929434,137061203799009
10116585161929434,10215575213514844
10116585161929434,10213889999381975
10116585161929434,116395725875763
10116585161929434,10211765197505270
10116585161929434,10216413062544098
10116585161929434,10216198199085345
10116585161929434,10155354916101204
10116585161929434,10204749670097132
10116585161929434,10212124163559089
10116585161929434,137061203799009
10215575213514844,10209590410076302
10215575213514844,10213889999381975
10215575213514844,116395725875763
10215575213514844,10211765197505270
10215575213514844,10216413062544098
10215575213514844,10216198199085345
10215575213514844,10155354916101204
10215575213514844,10204749670097132
10215575213514844,10212124163559089
10215575213514844,137061203799009
10215575213514844,10209590410076302
10213889999381975,2034268503483022
10213889999381975,116395725875763
10213889999381975,10211765197505270
10213889999381975,10216413062544098
10213889999381975,10216198199085345
10213889999381975,10155354916101204
10213889999381975,10204749670097132
10213889999381975,10212124163559089
10213889999381975,137061203799009
10213889999381975,10209590410076302
10213889999381975,2034268503483022
116395725875763,10211167738257524
116395725875763,10211765197505270
116395725875763,10216413062544098
116395725875763,10216198199085345
116395725875763,10155354916101204
116395725875763,10204749670097132
116395725875763,10212124163559089
116395725875763,137061203799009
116395725875763,10209590410076302
116395725875763,2034268503483022
